"item_id",qty_available,"stock_status","active_status"
"CRK7132",0,"D","Y"
"FLM6500SN",0,"X","Y"
"HOR390544",0,"N","Y"
"HOR390580",0,"N","Y"
"HOR390604",0,"N","Y"
"HOR390940",0,"N","Y"
"HOR390960",0,"N","Y"
"HOR391929",0,"N","Y"
"HOR392159",0,"N","Y"
"HOR392631",0,"N","Y"
"HOR393299",5,"S","Y"
"HOR397119",0,"N","Y"
"HOR40061B",0,"N","Y"
"HOR4241",0,"N","Y"
"HOR45207",0,"N","Y"
"HOR544253",0,"N","Y"
"HOR544650",0,"N","Y"
"HOR546214",0,"N","Y"
"HOR546249",0,"N","Y"
"HOR546272",0,"N","Y"
"HOR546289",0,"N","Y"
"HOR546338",0,"N","Y"
"HOR546350",0,"N","Y"
"HOR546366",0,"N","Y"
"HOR546380",0,"N","Y"
"HOR546392",0,"N","Y"
"HOR546402",0,"N","Y"
"HOR546422",0,"N","Y"
"HOR546432",0,"N","Y"
"HOR546553",0,"N","Y"
"HOR594286",0,"N","Y"
"HOR6093",0,"N","Y"
"HOR8078",0,"S","Y"
"HOR8095PM",0,"N","Y"
"HOR81093",0,"S","Y"
"HOR81494",0,"N","Y"
"HOR8268",0,"N","Y"
"HOR82750",0,"N","Y"
"HOR83177",0,"S","Y"
"HOR90311",0,"S","Y"
"HORA223",0,"N","Y"
"HORA300W",0,"N","Y"
"HORA338",0,"N","Y"
"HORA65C",0,"N","Y"
"HORA7X57",0,"N","Y"
"HORB270",0,"N","Y"
"HORB65X55",0,"N","Y"
"CAL147072",0,"N","Y"
"CAL191743",0,"N","Y"
"CAL252552",0,"N","Y"
"CAL398669",0,"N","Y"
"CAL432699",0,"N","Y"
"CAL487557",0,"S","Y"
"CAL652439",0,"N","Y"
"FRK153092",0,"N","Y"
"FRK419448",0,"N","Y"
"FRK513329",0,"N","Y"
"LOC222178",43,"S","Y"
"TIP157379",0,"N","Y"
"TIP404169",0,"N","Y"
"TIP434832",0,"N","Y"
"TIP505050",0,"N","Y"
"TIP657972",0,"N","Y"
"TIP768059",0,"N","Y"
"TIP845102",0,"N","Y"
"TIP887541",0,"N","Y"
"WHE324770",0,"N","Y"
"WHE562194",0,"S","Y"
"WHE781366",0,"N","Y"
"TEX14444",5,"S","Y"
"TEX15152",0,"N","Y"
"TEX33363",0,"N","Y"
"TEX33446",0,"N","Y"
"MAGM3A096",0,"N","Y"
"MAGS2D035",0,"N","Y"
"MAGS4D035",0,"N","Y"
"TROSTRXE3A13BT01",0,"N","Y"
"CRK7254Z",0,"N","Y"
"RVO901052",0,"N","Y"
"TRUTG231MP",0,"N","Y"
"INDLCVPUCOBK",0,"N","Y"
"SAV55222",0,"N","Y"
"MAKPLS1OD",0,"N","Y"
"MAKRCST",0,"N","Y"
"MAKTPODSLT",0,"N","Y"
"REM17124",0,"N","Y"
"REM18478",0,"N","Y"
"REM19186",0,"N","Y"
"TRJRM08A33",0,"N","Y"
"TRJRM61",0,"N","Y"
"TRJTA33G11",0,"N","Y"
"ALN18242",0,"N","Y"
"ALN22755",0,"N","Y"
"ALN70559",0,"N","Y"
"ALN8202",0,"N","Y"
"ALN90448",0,"N","Y"
"TUF3901NYRLGAUTO",0,"N","Y"
"TUF4002QNY",0,"N","Y"
"TUF5077TTA19",0,"S","Y"
"TUF7005BPNYPD",0,"N","Y"
"CAS00046",0,"S","Y"
"CAS00095",5,"S","Y"
"CAS00175",0,"N","Y"
"CAS00217",0,"N","Y"
"CAS00385",0,"N","Y"
"CAS00596",0,"N","Y"
"CAS00786",0,"N","Y"
"CAS02758",0,"N","Y"
"CAS06982",0,"N","Y"
"CAS07007",0,"N","Y"
"FIV48099191XL",1,"S","Y"
"FIV481110192XL",0,"S","Y"
"FIV51023019",3,"S","Y"
"FIV51059999",1,"S","Y"
"FIV58711131",3,"C","Y"
"FIV58716019",0,"N","Y"
"FIV59342019S",0,"N","Y"
"FIV59343019M",0,"S","Y"
"FIV59405019M",0,"S","Y"
"FIV59405190S",0,"N","Y"
"FIV595510194XL",0,"N","Y"
"FIV59551120M",0,"N","Y"
"FIV59552019M",0,"S","Y"
"FIV59552120XL",1,"S","Y"
"FIV59568190S",0,"N","Y"
"TROSHATJRG000T00",0,"N","Y"
"BCY35040",0,"N","Y"
"BCY35642",0,"N","Y"
"FIV11007120115",0,"N","Y"
"FIV1100712015",0,"N","Y"
"FIV110071209",0,"N","Y"
"FIV1200101911W",0,"N","Y"
"FIV1200101995W",0,"N","Y"
"FIV1200201912W",0,"N","Y"
"FIV120020196",0,"N","Y"
"FIV1200401910",0,"N","Y"
"FIV1200401912W",0,"N","Y"
"FIV120040197",0,"N","Y"
"FIV1200701995",0,"N","Y"
"FIV120180199",0,"N","Y"
"FIV12019019115",0,"N","Y"
"FIV1201901965",0,"N","Y"
"FIV120210197W",0,"N","Y"
"FIV1202201910",0,"N","Y"
"FIV1202201985",0,"N","Y"
"FIV1202301911",0,"N","Y"
"FIV1202301915",0,"N","Y"
"FIV1202301995",0,"N","Y"
"FIV12023106115W",0,"N","Y"
"FIV1202402310W",0,"N","Y"
"FIV1202402385",0,"N","Y"
"FIV120250198",0,"N","Y"
"STR51002",0,"D","Y"
"STR51005",0,"D","Y"
"FIO357SIGAP",0,"D","Y"
"STR88801",0,"D","Y"
"BLK86TP02CB2832",0,"N","Y"
"BLK86TP02CB3832",0,"N","Y"
"BLK86TP02CB4436",0,"N","Y"
"BLK87HP17DD2830",0,"N","Y"
"BLK87HP17DD4430",0,"N","Y"
"BLK88CP02HGLG",0,"N","Y"
"BLK88CP02RR3XL",0,"N","Y"
"BLK88CS03KB2XL",0,"N","Y"
"BLK88PP02RRLG",0,"N","Y"
"BLK88TS02CB3XL",0,"N","Y"
"BLK90KK01BKXL",0,"N","Y"
"CRMLG449H",4,"S","Y"
"CRMLG493H",0,"N","Y"
"ATISKS3050",10,"S","Y"
"AZM11414",0,"N","Y"
"AZM12298",0,"N","Y"
"AZM15113",65,"S","Y"
"AZM15152",0,"N","Y"
"AZM15158",8,"S","Y"
"AZM16137",0,"N","Y"
"BCY34081",0,"N","Y"
"BCY47021",0,"N","Y"
"BRN112022011",0,"N","Y"
"BRN112022036",0,"N","Y"
"BRN112026027",0,"N","Y"
"BSQ20066",0,"N","Y"
"BUR420556",0,"N","Y"
